1,1,"A",
2,1,"N",
3,1,"G",
4,1,"O",
5,1,"L",
6,1,"Ha",
7,1,"Ko",
8,1,"No",
9,1,"Mu",
10,1,"Ag",
11,1,"Ka",
12,1,"Gi",
13,1,"Il",
14,1,"Lok",
15,1,"Tar",
16,1,"Kaz",
17,1,"Ruk",
18,1,"Kek",
19,1,"Mog",
20,1,"Zug",
21,1,"Gul",
22,1,"Nuk",
23,1,"Aaz",
24,1,"Kil",
25,1,"Ogg",
26,1,"Rega",
27,1,"Nogu",
28,1,"Tago",
29,1,"Uruk",
30,1,"Kagg",
31,1,"Zaga",
32,1,"Grom",
33,1,"Ogar",
34,1,"Gesh",
35,1,"Thok",
36,1,"Dogg",
37,1,"Maka",
38,1,"Regas",
39,1,"Nogah",
40,1,"Kazum",
41,1,"Magan",
42,1,"No'bu",
43,1,"Golar",
44,1,"Throm",
45,1,"Zugas",
46,1,"Re'ka",
47,1,"No'ku",
48,1,"Maza",
49,1,"Ro'th",
50,1,"Thrakk",
51,1,"Revash",
52,1,"Nakazz",
53,1,"Moguna",
54,1,"No'gor",
55,1,"Goth'a",
56,1,"Raznos",
57,1,"Ogerin",
58,1,"Gezzno",
59,1,"Thukad",
60,1,"Makogg",
61,1,"Aaz'no",
62,1,"Lok'Tar",
63,1,"Gul'rok",
64,1,"Kazreth",
65,1,"Tov'osh",
66,1,"Zil'Nok",
67,1,"Rath'is",
68,1,"Kil'azi",
69,1,"Throm'ka",
70,1,"Osh'Kava",
71,1,"Gul'nath",
72,1,"Kog'zela",
73,1,"Ragath'a",
74,1,"Zuggossh",
75,1,"Moth'aga",
76,1,"Tov'nokaz",
77,1,"Osh'kazil",
78,1,"No'throma",
79,1,"Gesh'nuka",
80,1,"Lok'mogul",
81,1,"Lok'bolar",
82,1,"Ruk'ka'ha",
83,1,"Regasnogah",
84,1,"Kazum'nobu",
85,1,"Throm'bola",
86,1,"Gesh'zugas",
87,1,"Maza'rotha",
88,1,"Ogerin'naz",
89,1,"Thrakk'reva",
90,1,"Kaz'goth'no",
91,1,"No'gor'goth",
92,1,"Kil'azi'aga",
93,1,"Zug-zug'ama",
94,1,"Maza'thrakk",
95,1,"Lokando'nash",
96,1,"Ul'gammathar",
97,1,"Khaz'rogg'ahn",
98,1,"Moth'kazoroth",
99,1,"Golgonnashar",
100,1,"Dalggo'mazah",
101,2,"A",
102,2,"N",
103,2,"I",
104,2,"O",
105,2,"E",
106,2,"D",
107,2,"Da",
108,2,"Lo",
109,2,"An",
110,2,"Ni",
111,2,"Al",
112,2,"Do",
113,2,"Ri",
114,2,"Su",
115,2,"No",
116,2,"Ano",
