1,"Pick Lock",0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,8323198,"Locked Items",0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,8323198,"Pick",0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,8323198,"PickLock",
2,"Herbalism",0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,8323198,"Herbs",0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,8323198,"Gather",0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,8323198,"GatherHerbs",
3,"Mining",0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,8323198,"Ore Deposits",0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,8323198,"Mine",0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,8323198,"Mine",
4,"Disarm Trap",0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,8323198,"Trap",0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,8323198,"Disarm",0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,8323198,"",
5,"Open",0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,8323198,"Unlocked Items",0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,8323198,"Open",0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,8323198,"",
6,"Treasure (DND)",0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,8323198,"Treasure",0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,8323198,"",0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,8323196,"",
7,"Calcified Elven Gems (DND)",0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,8323198,"Calcified Elven Gems",0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,8323198,"",0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,8323196,"",
8,"Close",0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,8323198,"Unlocked Items",0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,8323198,"Close",0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,8323198,"",
9,"Arm Trap",0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,8323198,"Trap",0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,8323198,"Arm",0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,8323198,"",
10,"Quick Open",0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,8323198,"Unlocked Items",0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,8323198,"Open",0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,8323198,"",
11,"Quick Close",0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,8323198,"Unlocked Items",0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,8323198,"Close",0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,8323198,"",
12,"Open Tinkering",0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,8323198,"Unlocked Items",0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,8323198,"Open",0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,8323198,"",
13,"Open Kneeling",0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,8323198,"Unlocked Items",0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,8323198,"Open",0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,8323198,"",
14,"Open Attacking",0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,4128894,"Unlocked Items",0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,4128894,"Open",0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,4128894,"",
15,"Gahz'ridian (DND)",0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,8323198,"Gahz'ridian",0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,4128894,"",0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,8323196,"",
16,"Blasting",0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,4128894,"Locked Items",0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,4128894,"Blast",0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,4128894,"",
17,"Slow Open",0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,4128894,"Unlocked Items",0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,4128894,"Open",0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,4128894,"",
18,"Slow Close",0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,4128894,"Unlocked Items",0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,4128894,"Close",0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,4128894,"",
19,"Fishing",0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,4128894,"Fish",0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,4128894,"Fish",0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,4128894,"",
