21,1,0,0,0,1,
22,1,0,1,2,0,
23,1,0,2,3,0,
24,1,0,3,4,0,
25,1,0,4,5,0,
26,1,0,5,6,0,
27,1,0,6,7,0,
28,1,0,7,8,0,
29,1,0,8,9,0,
30,1,0,9,10,0,
31,1,0,10,11,0,
32,1,0,11,12,0,
34,1,1,0,2,0,
35,1,1,1,3,0,
36,1,1,2,4,0,
37,1,1,3,5,0,
38,1,1,4,6,0,
39,1,1,5,7,0,
40,1,1,6,8,0,
41,1,1,7,9,0,
42,1,1,8,10,0,
43,1,1,9,11,0,
44,1,1,10,12,0,
45,1,1,11,13,0,
46,1,1,12,14,0,
47,1,1,13,15,0,
48,1,1,14,16,0,
49,1,1,15,17,0,
50,1,1,16,18,0,
51,1,1,17,19,0,
52,1,1,18,20,0,
53,2,0,0,0,1,
54,2,0,1,2,0,
55,2,0,2,3,0,
56,2,0,3,4,0,
57,2,0,4,5,0,
58,2,0,5,6,0,
59,2,0,6,7,0,
60,2,1,0,2,0,
61,2,1,1,3,0,
62,2,1,2,4,0,
63,2,1,3,5,0,
64,2,1,4,6,0,
65,2,1,5,7,0,
66,2,1,6,8,0,
69,6,0,0,2,0,
70,6,0,1,3,0,
71,6,0,2,4,0,
72,6,0,3,5,0,
73,6,0,4,6,0,
74,6,0,5,7,0,
75,6,0,6,8,0,
76,6,0,7,9,0,
78,6,1,0,2,0,
79,6,1,1,3,0,
80,6,1,2,4,0,
81,6,1,3,5,0,
82,6,1,4,6,0,
85,3,0,0,0,1,
86,3,0,1,2,0,
87,3,0,2,3,0,
88,3,0,3,4,0,
89,3,0,4,5,0,
90,3,0,5,6,0,
91,3,0,6,7,0,
92,3,0,7,8,0,
93,3,0,8,9,0,
94,3,0,9,10,0,
95,3,0,10,11,0,
97,3,1,0,2,0,
98,3,1,1,3,0,
99,3,1,2,4,0,
100,3,1,3,5,0,
101,3,1,4,6,0,
102,3,1,5,7,0,
103,3,1,6,8,0,
104,3,1,7,9,0,
105,3,1,8,10,0,
106,3,1,9,11,0,
107,3,1,10,12,0,
108,3,1,11,13,0,
109,3,1,12,14,0,
110,3,1,13,15,0,
112,4,0,0,2,0,
113,4,0,1,3,0,
114,4,0,2,4,0,
115,4,0,3,5,0,
116,4,0,4,6,0,
117,4,0,5,7,0,
118,4,0,6,8,0,
120,4,1,0,2,0,
121,4,1,1,3,0,
122,4,1,2,4,0,
123,4,1,3,5,0,
124,4,1,4,6,0,
125,4,1,5,7,0,
126,4,1,6,8,0,
127,5,0,0,0,1,
128,5,0,1,2,0,
129,5,0,2,3,0,
130,5,0,3,4,0,
131,5,0,4,5,0,
132,5,0,5,6,0,
133,5,0,6,7,0,
134,5,0,7,8,0,
135,5,0,8,9,0,
136,5,0,9,10,0,
138,5,1,0,2,0,
139,5,1,1,3,0,
140,5,1,2,4,0,
141,5,1,3,5,0,
142,5,1,4,6,0,
143,5,1,5,7,0,
144,5,1,6,8,0,
145,5,1,7,9,0,
146,5,1,8,10,0,
147,5,1,9,11,0,
148,7,0,0,0,1,
149,7,0,1,2,0,
150,7,0,2,3,0,
151,7,0,3,4,0,
152,7,0,4,5,0,
153,7,0,5,6,0,
154,7,0,6,7,0,
159,7,1,0,2,0,
160,7,1,1,3,0,
161,7,1,2,4,0,
162,7,1,3,5,0,
163,7,1,4,6,0,
164,7,1,5,7,0,
165,7,1,6,8,0,
169,8,0,1,2,0,
170,8,0,2,3,0,
172,8,0,4,5,0,
173,8,0,5,6,0,
176,8,1,0,2,0,
177,8,1,1,3,0,
178,8,1,3,5,0,
179,8,1,2,4,0,
180,8,1,4,6,0,
181,8,0,3,4,0,
201,6,1,5,7,0,
202,6,1,6,8,0,
221,8,0,0,0,0,
241,9,0,0,1,0,
242,9,0,0,2,1,
243,9,0,0,1,0,
244,9,0,0,2,1,
