9,0,1,1875,1999,0.000000,0.000000,
10,1,1,2618,2581,0.000000,-1.#QNAN0,
11,2,1,1876,2000,0.000000,-1.#QNAN0,
12,3,1,1877,2001,0.000000,-1.#QNAN0,
13,4,1,1878,2002,0.000000,-1.#QNAN0,
14,5,1,1879,2003,0.000000,-1.#QNAN0,
15,6,1,-1,-1,-1.#QNAN0,-1.#QNAN0,
16,7,1,-1,-1,0.000000,-1.#QNAN0,
17,8,1,2620,2985,0.000000,-1.#QNAN0,
18,9,1,-1,-1,-1.#QNAN0,-1.#QNAN0,
19,10,1,1881,2005,-1.#QNAN0,-1.#QNAN0,
20,11,1,1882,2006,-1.#QNAN0,-1.#QNAN0,
21,12,1,1883,2584,-1.#QNAN0,-1.#QNAN0,
22,13,1,2622,2585,-1.#QNAN0,-1.#QNAN0,
23,14,1,1884,2008,-1.#QNAN0,-1.#QNAN0,
24,15,1,1885,2009,-1.#QNAN0,-1.#QNAN0,
25,16,1,-1,-1,-1.#QNAN0,-1.#QNAN0,
26,17,1,1886,2010,-1.#QNAN0,-1.#QNAN0,
27,18,1,2624,2586,-1.#QNAN0,-1.#QNAN0,
170,0,3,1581,1654,0.000000,0.000000,
171,1,3,2601,2889,0.000000,0.000000,
172,5,3,1586,1658,0.000000,0.000000,
173,2,3,1652,1655,0.000000,0.000000,
174,3,3,1584,1656,0.000000,0.000000,
175,4,3,1585,1657,0.000000,0.000000,
176,6,3,-1,-1,0.000000,0.000000,
177,7,3,-1,-1,0.000000,0.000000,
178,10,3,1588,1660,0.000000,0.000000,
179,11,3,1589,1661,0.000000,0.000000,
180,12,3,1590,1662,0.000000,0.000000,
181,14,3,1591,1663,0.000000,0.000000,
182,15,3,1592,1664,0.000000,0.000000,
183,17,3,1593,2895,0.000000,0.000000,
184,19,3,-1,-1,0.000000,0.000000,
185,20,3,1595,1667,0.000000,0.000000,
186,21,3,-1,-1,0.000000,0.000000,
187,22,3,1598,1669,0.000000,0.000000,
188,23,3,-1,-1,0.000000,0.000000,
189,24,3,-1,-1,0.000000,0.000000,
190,25,3,1601,1672,0.000000,0.000000,
191,26,3,1602,1676,0.000000,0.000000,
192,27,3,1639,1674,0.000000,0.000000,
193,28,3,1608,1675,0.000000,0.000000,
194,29,3,1609,1673,0.000000,0.000000,
195,30,3,1616,1677,0.000000,0.000000,
196,31,3,1618,1665,0.000000,0.000000,
197,32,3,-1,-1,0.000000,0.000000,
198,33,3,1623,1679,0.000000,0.000000,
199,34,3,1623,1680,0.000000,0.000000,
200,35,3,1624,1681,0.000000,0.000000,
201,36,3,-1,-1,0.000000,0.000000,
202,37,3,1610,1683,0.000000,0.000000,
203,38,3,1614,1684,0.000000,0.000000,
204,39,3,1630,1686,0.000000,0.000000,
205,40,3,1630,1686,0.000000,0.000000,
206,41,3,1605,1687,0.000000,0.000000,
207,43,3,1606,1688,0.000000,0.000000,
208,44,3,1631,1689,0.000000,0.000000,
209,45,3,1626,1690,0.000000,0.000000,
210,46,3,1633,1691,0.000000,0.000000,
211,47,3,1627,1692,0.000000,0.000000,
212,48,3,1634,1693,0.000000,0.000000,
213,49,3,1625,1694,0.000000,0.000000,
214,50,3,1607,1695,0.000000,0.000000,
215,51,3,1653,1696,0.000000,0.000000,
216,52,3,1613,1697,0.000000,0.000000,
217,53,3,1640,1698,0.000000,0.000000,
