1,"interface\paperdoll\UI-PaperDoll-Slot-Head.blp",1,
57,"interface\paperdoll\UI-PaperDoll-Slot-Neck.blp",2,
113,"interface\paperdoll\UI-PaperDoll-Slot-Shoulder.blp",3,
177,"interface\paperdoll\UI-PaperDoll-Slot-Shirt.blp",4,
235,"interface\paperdoll\UI-PaperDoll-Slot-Chest.blp",5,
293,"interface\paperdoll\UI-PaperDoll-Slot-Waist.blp",6,
351,"interface\paperdoll\UI-PaperDoll-Slot-Legs.blp",7,
407,"interface\paperdoll\UI-PaperDoll-Slot-Feet.blp",8,
463,"interface\paperdoll\UI-PaperDoll-Slot-Wrists.blp",9,
522,"interface\paperdoll\UI-PaperDoll-Slot-Hands.blp",10,
580,"interface\paperdoll\UI-PaperDoll-Slot-Finger.blp",11,
641,"interface\paperdoll\UI-PaperDoll-Slot-Finger.blp",12,
653,"interface\paperdoll\UI-PaperDoll-Slot-Trinket.blp",13,
716,"interface\paperdoll\UI-PaperDoll-Slot-Trinket.blp",14,
729,"interface\paperdoll\UI-PaperDoll-Slot-Chest.blp",15,
738,"interface\paperdoll\UI-PaperDoll-Slot-MainHand.blp",16,
802,"interface\paperdoll\UI-PaperDoll-Slot-SecondaryHand.blp",17,
876,"interface\paperdoll\UI-PaperDoll-Slot-Ranged.blp",18,
936,"interface\paperdoll\UI-PaperDoll-Slot-Tabard.blp",19,
996,"interface\paperdoll\UI-PaperDoll-Slot-Bag.blp",64,
1047,"interface\paperdoll\UI-PaperDoll-Slot-Bag.blp",65,
1052,"interface\paperdoll\UI-PaperDoll-Slot-Bag.blp",66,
1057,"interface\paperdoll\UI-PaperDoll-Slot-Bag.blp",67,
1062,"interface\paperdoll\UI-PaperDoll-Slot-Bag.blp",68,
1067,"interface\paperdoll\UI-PaperDoll-Slot-Bag.blp",69,
1072,"interface\paperdoll\UI-PaperDoll-Slot-Bag.blp",70,
1077,"interface\paperdoll\UI-PaperDoll-Slot-Bag.blp",71,
1082,"interface\paperdoll\UI-PaperDoll-Slot-Bag.blp",72,
1087,"interface\paperdoll\UI-PaperDoll-Slot-Bag.blp",73,
1093,"interface\paperdoll\UI-PaperDoll-Slot-Bag.blp",74,
1099,"interface\paperdoll\UI-PaperDoll-Slot-Bag.blp",75,
1105,"interface\paperdoll\UI-PaperDoll-Slot-Bag.blp",20,
1114,"interface\paperdoll\UI-PaperDoll-Slot-Bag.blp",21,
1123,"interface\paperdoll\UI-PaperDoll-Slot-Bag.blp",22,
1132,"interface\paperdoll\UI-PaperDoll-Slot-Bag.blp",23,
1141,"interface\paperdoll\UI-PaperDoll-Slot-Ranged.blp",0,
