1681,"18년",
1682,"18놈",
1683,"18새끼",
1692,"\<callist[aeo]\>",
1695,"\<cesario\>",
1699,"\<dranzor\>",
1701,"\<dulcinea\>",
1705,"\<garona\>",
1708,"\<guldan\>",
1712,"\<katricia\>",
1715,"\<lothar\>",
1716,"\<malthar\>",
1717,"melchor\>",
1719,"\<nebu\>",
1722,"\<pagnus\>",
1723,"\<pyaray",
1724,"\<rakdar\>",
1727,"\<thrall\>",
1728,"twain",
1733,"\<valkryst\>",
1735,"\<zazzu\>",
1737,"adham",
1742,"e.*avila\>",
1748,"whittle\>",
1756,"guerrero\>",
1757,"\<cash\>",
1768,"dabiri",
1770,"\<d.*anthony\>",
1782,"\<enoyls\>",
1792,"\<f.*pearce\>",
1793,"fraizer",
1797,"gamemaster",
1809,"\<j.*cash\>",
1815,"kern\>",
1823,"metzen",
1825,"\<m.*hein\>",
1830,"morhaime",
1835,"\<ogre\>",
1838,"\<pardo",
1840,"pearce\>",
1843,"petras",
1848,"\<p.*sams\>",
1853,"roper",
1855,"rumsey",
1857,"\<sams\>",
1862,"didier\>",
1866,"\<shane\>",
1886,"vivendi",
1934,"개인정보보호관리자",
1935,"개인정보보호책임자",
1958,"게임관리자",
1959,"게임마스터",
1961,"겜마",
1962,"고객지원과장",
1963,"고객지원팀",
1964,"고객지원팀장",
1966,"그리스도",
1967,"김일성",
1968,"김정일",
1990,"뉘마",
1991,"뉘망",
1992,"뉘이마",
1993,"뉘이망",
1994,"뉘임아",
1995,"뉘임앙",
1996,"뉨두라",
1997,"뉨두랑",
1998,"뉨둘라",
1999,"뉨둘아",
2000,"뉨둘앙",
2001,"뉨드라",
2002,"뉨드랑",
2003,"뉨들아",
2004,"뉨들앙",
2005,"뉨아",
2006,"뉨앙",
2008,"늬마",
2009,"늬망",
2010,"늬아",
2011,"늬이마",
2012,"늬이망",
2013,"늬임앙",
2014,"늼두라",
2015,"늼두랑",
2016,"늼둘라",
2017,"늼둘아",
2018,"늼둘앙",
2019,"늼드라",
2020,"늼드랑",
2021,"늼들아",
2022,"늼들앙",
2023,"늼앙",
2025,"니마",
2026,"니망",
2036,"니이마",
2037,"니이망",
2038,"니임아",
2039,"니임앙",
2041,"님두라",
2042,"님두랑",
2043,"님둘라",
2044,"님둘아",
2045,"님둘앙",
2046,"님드라",
2047,"님드랑",
2048,"님들아",
2049,"님들앙",
2050,"님아",
2051,"님앙",
2071,"마리아",
2072,"마약",
2098,"버그담당",
2099,"버그테스터",
2100,"버그테스트",
2166,"부처",
2167,"북조선",
2168,"북한",
2177,"블리자드",
2178,"비뱅디",
2179,"비벤디",
2180,"비벤디겜마",
2181,"비벤디고객지원팀",
2182,"비벤디사장",
2183,"비벤디코리아",
2184,"비붼디",
2196,"서버관리자",
2197,"석가모니",
2201,"성모마리아",
2210,"시바",
2216,"시스템관리자",
2312,"알라",
2322,"양귀비",
2324,"양키",
2339,"예수",
