1,"Anvil",0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,8323198,
2,"Loom",0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,8323198,
3,"Forge",0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,8323198,
4,"Cooking Fire",0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,8323198,
5,"Shards of Myzrael",0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,8323198,
6,"Winterhoof Water Well",0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,8323198,
7,"Thunderhorn Water Well",0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,8323198,
8,"Wildmane Water Well",0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,8323198,
9,"Tribal Fire",0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,8323198,
10,"Machine Shop",0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,8323198,
11,"Shadowglen Moonwell",0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,8323198,
12,"Starbreeze Village Moonwell",0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,8323198,
13,"Pools of Arlithrien Moonwell",0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,8323198,
14,"Oracle Glade Moonwell",0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,8323198,
15,"Venture Co. Airport",0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,8323198,
16,"Venture Co. Wagon (Blue)",0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,8323198,
17,"Venture Co. Wagon (Red)",0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,8323198,
18,"NG-5 Explosives (Red)",0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,8323198,
19,"NG-5 Explosives (Blue)",0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,8323198,
20,"Flame of Uzel",0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,8323198,
21,"Ashenvale Moonwell",0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,8323198,
22,"Seaworn Altar",0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,8323198,
23,"Nearby Tubers",0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,8323198,
43,"Undercity Summoning Circle",0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,8323198,
63,"Shaman Shrine",0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,4128894,
83,"Stormwind Summoning Circle",0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,4128894,
103,"Barrens Summoning Circle",0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,4128894,
123,"Mirror Lake Waterfall",0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,4128894,
143,"Talon Den",0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,4128894,
163,"Xavian Waterfall",0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,4128894,
164,"Stone of Outer Binding",0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,4128894,
183,"Mana Rift Disturbance",0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,4128894,
203,"Orgrimmar Summoning Circle",0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,4128894,
223,"Ruins of Stardust Fountain",0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,4128894,
224,"Quilboar Watering Hole",0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,4128894,
