3,"TESTVOLUMENONE",0,0,0.100000,1.000000,1.000000,0.000000,0.000000,1.000000,0.000000,0.000000,0,0.000000,1.000000,-0.050000,0.000000,0.100000,0.250000,0.000000,1.000000,0.000000,5000.000000,250.000000,
4,"TESTVOLUMEFULL",0,0,20.000000,50.000000,1.000000,0.000000,0.000000,1.000000,0.000000,0.300000,0,0.100000,1.000000,-0.050000,0.000000,0.100000,0.250000,0.000000,1.000000,0.000000,5000.000000,250.000000,
5,"TESTVOLUMEHALF",0,0,10.000000,1.000000,1.000000,0.000000,0.000000,1.000000,0.000000,0.200000,0,0.100000,1.000000,-0.050000,0.000000,0.100000,0.250000,0.000000,1.000000,0.000000,1000.000000,250.000000,
8,"NSabbey.wmo_entry01",0,0,0.100000,1.000000,1.000000,-1.#QNAN0,-1.#QNAN0,1.000000,-1.#QNAN0,0.000000,1000,0.000000,1.000000,0.000000,0.000000,1.000000,0.250000,0.000000,0.250000,0.000000,5000.000000,250.000000,
10,"NSabbey.wmo_entry02",0,0,0.100000,1.000000,1.000000,-1.#QNAN0,-1.#QNAN0,1.000000,-1.#QNAN0,0.000000,1000,0.000000,1.000000,0.000000,0.000000,1.000000,0.250000,0.000000,0.250000,0.000000,5000.000000,250.000000,
11,"Underwater",4,15,1.000000,1.800000,1.000000,-1.#QNAN0,-1.#QNAN0,0.100000,-1.#QNAN0,0.007000,1700,0.013100,10.000000,-100.000000,0.000000,1.000000,0.250000,0.000000,1.180000,0.348000,5000.000000,250.000000,
13,"Default Outdoors",1,0,0.000000,0.000000,1.000000,0.000000,-1.#QNAN0,2.000000,-1.#QNAN0,0.000000,-100,0.000000,0.000000,-100.000000,0.000000,1.000000,0.250000,0.000000,0.250000,0.000000,5000.000000,250.000000,
18,"c0z6s2",0,0,20.000000,100.000000,1.000000,0.000000,0.000000,2.000000,0.000000,0.300000,1000,0.100000,0.000000,0.000000,0.000000,2.000000,0.250000,1.000000,4.000000,1.000000,20000.000000,1000.000000,
19,"TESTVOLUMEPSYCHOTIC",0,25,2.310000,11.600000,1.000000,0.000000,0.000000,0.640000,-1.#QNAN0,0.012000,83,0.017000,0.000000,5.000000,0.000000,0.100000,0.075000,0.000000,1.000000,0.000000,10000.000000,30.000000,
22,"c0z6s2",0,0,20.000000,100.000000,1.000000,0.000000,0.000000,2.000000,0.000000,0.300000,1000,0.100000,0.000000,0.000000,0.000000,2.000000,0.250000,1.000000,4.000000,1.000000,20000.000000,1000.000000,
43,"EAX Test",0,0,2.310000,11.600000,1.000000,-1.#QNAN0,-1.#QNAN0,0.640000,-1.#QNAN0,0.012000,83,0.012000,0.000000,5.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,
