1,1,"United States",0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,4128894,
1,2,"Korea",0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,4128894,
1,3,"English",0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,4128894,
2,3,"German",0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,4128894,
3,3,"French",0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,4128894,
1,4,"Taiwan",0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,4128894,
1,5,"China",0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,4128894,
1,99,"Test Server",0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,4128894,
5,1,"Oceanic",0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,4128894,
1,101,"QA Server",0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,4128894,
5,3,"Spanish",0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,4128894,
5,99,"Oceanic",0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,4128894,
2,5,"CN3",0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,4128894,
3,5,"CN7",0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,4128894,
