23,3,0,1,1,6,3,2,8815,8815,3900,0,8328,5848,8816,0,3052,0,"973e54e79012eea3f2658f2897e681d9.blp",
30,1,0,3,3,10,4,6,2952,0,1184,0,0,0,0,0,0,0,"f36078035501dc70977842f6338d12.blp",
32,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"17280210fd8cd9a491511e3dc522046.blp",
36,1,1,0,0,0,0,0,0,5248,5249,5250,4300,4304,4956,3379,5251,3864,"d3b90e38e1dee19af06154c2d9be3570.blp",
43,1,1,2,1,11,3,0,0,0,0,0,0,0,0,0,0,0,"e5a0ef11c7bb564426877876fed95f8.blp",
45,1,0,0,8,0,0,2,0,7684,7676,7677,7678,7679,7680,0,7702,7683,"d2cd29f82728a42f77f65c9c80ad5def.blp",
46,5,0,4,8,0,0,0,15911,0,5305,5306,5307,5308,8355,0,12873,0,"31e5f5778201de4f2793d73372c4d55c.blp",
47,3,0,6,5,0,6,7,15907,0,5315,0,0,2610,3261,0,5444,0,"9396fbebe3028a8cf27e175745498f0.blp",
48,1,1,1,1,1,0,0,5330,5316,5317,5318,0,5320,5331,5322,5332,5324,"ccb8fb64e4b3b8102c9a696eca9e25a8.blp",
49,3,0,0,5,0,1,3,15491,0,11417,0,4888,4310,7458,0,0,0,"2a55e007af0ded59394dafa864e6bd7c.blp",
50,3,0,0,3,8,1,1,0,0,5326,0,3553,4310,4307,0,0,0,"1fa1c38f5e028e665a178715d738d0a2.blp",
52,4,0,5,1,3,3,2,0,0,5340,0,0,5341,9915,0,0,0,"b883d141a5d816a6dc78538be381a059.blp",
53,3,1,2,1,3,3,0,0,0,5343,0,5344,1818,4586,0,0,0,"b36a52c7f9c5641c747b0dce3627eea0.blp",
54,1,0,4,10,3,9,2,0,0,0,5345,0,5346,5347,3897,0,0,"a924d87d84c0c55e898c596f6dbecb6d.blp",
56,1,1,3,2,14,0,0,0,0,13620,0,7619,2318,5856,0,13621,0,"932ff070d2fe6e5aa2aadaa0b6c4cc6.blp",
57,1,0,2,10,6,1,4,0,0,0,5350,0,5297,5351,0,0,0,"be28e2bfd38f9b9a1092b00aee586053.blp",
58,1,0,1,2,1,4,1,0,0,13516,13517,4989,1882,6060,5355,0,0,"5681a54886d31bbb786832154006824.blp",
59,1,0,0,9,8,9,8,0,0,0,8444,5865,7587,8268,0,0,0,"7327091d888e9bff0a2f0cf850a015d.blp",
60,1,0,2,0,1,3,6,0,0,9745,0,0,2318,4272,0,0,0,"ffb1caa4caddabd8de60b6353e14a03e.blp",
61,1,0,0,9,8,7,8,0,0,10697,10708,0,8409,4921,0,0,0,"44a1ff617dc76fa8c5e59da576009e7a.blp",
62,1,0,9,0,0,2,5,0,0,4299,0,0,2185,4272,0,0,0,"2b4c7fc384f92b976a91eace11444ad4.blp",
63,1,0,3,11,5,4,3,0,0,3552,0,0,5346,2496,0,0,0,"9ac162b8561b1271192668e45d4368ea.blp",
