0,"Stand",0,1,0,3,147,
1,"Death",0,768,500,8,0,
2,"Spell",4,256,1,2,0,
3,"Stop",0,1,11,4,0,
4,"Walk",0,65,10,4,0,
5,"Run",0,65,10,4,0,
6,"Dead",0,2304,500,40,1,
7,"Rise",0,256,1,0,0,
8,"StandWound",0,296,20,0,0,
9,"CombatWound",0,296,20,7,8,
10,"CombatCritical",0,296,20,7,9,
11,"ShuffleLeft",0,1,0,4,0,
12,"ShuffleRight",0,1,0,4,0,
13,"Walkbackwards",0,65,10,16,4,
14,"Stun",0,256,1,3,0,
15,"HandsClosed",0,0,1,0,0,
16,"AttackUnarmed",16,296,20,3,0,
17,"Attack1H",32,296,20,3,16,
18,"Attack2H",32,296,20,3,17,
19,"Attack2HL",32,296,20,1,18,
20,"ParryUnarmed",0,296,20,1,8,
21,"Parry1H",0,296,20,0,8,
22,"Parry2H",0,296,20,0,8,
23,"Parry2HL",0,296,20,0,8,
24,"ShieldBlock",0,296,20,3,8,
25,"ReadyUnarmed",16,256,0,1,0,
26,"Ready1H",32,256,0,1,0,
27,"Ready2H",32,256,0,1,0,
28,"Ready2HL",32,0,0,0,0,
29,"ReadyBow",0,0,0,3,0,
30,"Dodge",0,296,20,0,8,
31,"SpellPrecast",4,264,1,3,0,
32,"SpellCast",4,256,1,3,16,
33,"SpellCastArea",4,264,1,2,32,
34,"NPCWelcome",0,0,1,0,0,
35,"NPCGoodbye",0,0,1,0,0,
36,"Block",0,296,1,0,8,
37,"JumpStart",0,257,10,0,0,
38,"Jump",0,257,0,0,0,
39,"JumpEnd",0,257,0,2,0,
40,"Fall",0,257,0,0,0,
41,"SwimIdle",0,1,10,6,0,
42,"Swim",4,321,10,4,0,
43,"SwimLeft",4,321,10,4,0,
44,"SwimRight",4,321,10,4,0,
45,"SwimBackwards",4,321,10,20,42,
46,"AttackBow",16,264,22,2,0,
47,"FireBow",0,256,2,2,0,
48,"ReadyRifle",0,0,0,3,0,
49,"AttackRifle",16,264,22,2,0,
50,"Loot",4,256,5,0,0,
51,"ReadySpellDirected",4,256,1,2,52,
52,"ReadySpellOmni",4,256,1,2,31,
53,"SpellCastDirected",4,264,20,2,54,
54,"SpellCastOmni",4,264,20,2,33,
55,"BattleRoar",0,264,20,3,16,
56,"ReadyAbility",32,256,0,2,0,
57,"Special1H",32,288,20,3,17,
58,"Special2H",32,288,20,2,18,
59,"ShieldBash",0,296,20,2,87,
60,"EmoteTalk",16,264,1,3,0,
61,"EmoteEat",16,264,1,3,0,
62,"EmoteWork",16,256,1,3,0,
63,"EmoteUseStanding",16,264,1,1,0,
64,"EmoteTalkExclamation",16,264,1,3,0,
65,"EmoteTalkQuestion",16,264,1,1,0,
66,"EmoteBow",16,256,1,1,0,
67,"EmoteWave",16,264,2,3,0,
68,"EmoteCheer",16,256,1,3,0,
69,"EmoteDance",16,256,1,3,0,
70,"EmoteLaugh",16,264,1,3,0,
71,"EmoteSleep",16,256,1,3,100,
