1,"APP_TITLE","WowError",0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,4128894,
2,"WOWERROR","WOWERROR",0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,4128894,
3,"HEADER","The following data will be sent to Blizzard when you click Send
Though you can opt not to send this information, doing so will help us to improve the game.",0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,4128894,
4,"SEND","Send",0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,4128894,
5,"CANCEL","Cancel",0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,4128894,
6,"SEND_ERROR","Error sending data",0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,4128894,
7,"PRESS_SEND","Press Send to Send",0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,4128894,
8,"SEND_CONNECTING","Connecting",0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,4128894,
9,"SEND_SENDING","Sending",0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,4128894,
10,"SEND_DONE","Send successful",0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,4128894,
11,"SEND_CANT_CONNECT","Can not connect to server",0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,4128894,
12,"DONE","Done",0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,4128894,
13,"DESCRIBE","Describe what you were doing when the crash occurred",0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,4128894,
