0,"ONESHOT_NONE",0,0,0,0,0,
1,"ONESHOT_TALK(DNR)",60,140,0,0,0,
2,"ONESHOT_BOW",66,18433,0,0,0,
3,"ONESHOT_WAVE(DNR)",67,2048,0,0,0,
4,"ONESHOT_CHEER(DNR)",68,2048,0,0,0,
5,"ONESHOT_EXCLAMATION(DNR)",64,164,0,0,0,
6,"ONESHOT_QUESTION",65,148,0,0,0,
7,"ONESHOT_EAT",61,2048,0,0,0,
10,"STATE_DANCE",69,28801,2,0,0,
11,"ONESHOT_LAUGH",70,2432,0,0,0,
12,"STATE_SLEEP",0,25090,1,3,0,
13,"STATE_SIT",0,25090,1,1,0,
14,"ONESHOT_RUDE(DNR)",73,1,0,0,0,
15,"ONESHOT_ROAR(DNR)",74,4,0,0,0,
16,"ONESHOT_KNEEL",75,16384,0,0,0,
17,"ONESHOT_KISS",76,0,0,0,0,
18,"ONESHOT_CRY",77,0,0,0,0,
19,"ONESHOT_CHICKEN",78,0,0,0,0,
20,"ONESHOT_BEG",79,16384,0,0,0,
21,"ONESHOT_APPLAUD",80,0,0,0,0,
22,"ONESHOT_SHOUT(DNR)",81,2240,0,0,0,
23,"ONESHOT_FLEX",82,0,0,0,0,
24,"ONESHOT_SHY(DNR)",83,16384,0,0,0,
25,"ONESHOT_POINT(DNR)",84,0,0,0,0,
26,"STATE_STAND",0,25090,1,0,0,
27,"STATE_READYUNARMED",25,26624,2,0,0,
28,"STATE_WORK",62,24576,2,0,0,
29,"STATE_POINT(DNR)",84,16384,2,0,0,
30,"STATE_NONE",0,16384,2,0,0,
33,"ONESHOT_WOUND",9,1024,0,0,0,
34,"ONESHOT_WOUNDCRITICAL",10,1024,0,0,0,
35,"ONESHOT_ATTACKUNARMED",16,17412,0,0,0,
36,"ONESHOT_ATTACK1H",17,17412,0,0,0,
37,"ONESHOT_ATTACK2HTIGHT",18,17412,0,0,0,
38,"ONESHOT_ATTACK2HLOOSE",19,17412,0,0,0,
39,"ONESHOT_PARRYUNARMED",20,17412,0,0,0,
43,"ONESHOT_PARRYSHIELD",24,17412,0,0,0,
44,"ONESHOT_READYUNARMED",25,1024,0,0,0,
45,"ONESHOT_READY1H",26,1024,0,0,0,
48,"ONESHOT_READYBOW",29,1024,0,0,0,
50,"ONESHOT_SPELLPRECAST",31,17408,0,0,0,
51,"ONESHOT_SPELLCAST",32,17408,0,0,0,
53,"ONESHOT_BATTLEROAR",55,1024,0,0,0,
54,"ONESHOT_SPECIALATTACK1H",57,17412,0,0,0,
60,"ONESHOT_KICK",95,17408,0,0,0,
61,"ONESHOT_ATTACKTHROWN",107,17408,0,0,0,
64,"STATE_STUN",14,19456,2,0,0,
65,"STATE_DEAD",0,26114,1,7,0,
66,"ONESHOT_SALUTE",113,2048,0,0,0,
68,"STATE_KNEEL",0,25090,1,8,0,
69,"STATE_USESTANDING",63,26624,2,0,0,
70,"ONESHOT_WAVE_NOSHEATHE",67,4,0,0,0,
71,"ONESHOT_CHEER_NOSHEATHE",68,4,0,0,0,
92,"ONESHOT_EAT_NOSHEATHE",199,4,0,0,0,
93,"STATE_STUN_NOSHEATHE",137,16388,2,0,0,
94,"ONESHOT_DANCE",69,16384,0,0,0,
113,"ONESHOT_SALUTE_NOSHEATH",113,4,0,0,0,
133,"STATE_USESTANDING_NOSHEATHE",138,8192,2,0,0,
153,"ONESHOT_LAUGH_NOSHEATHE",70,4,0,0,0,
173,"STATE_WORK_NOSHEATHE",136,24580,2,0,0,
193,"STATE_SPELLPRECAST",31,16384,2,0,0,
213,"ONESHOT_READYRIFLE",48,0,0,0,0,
214,"STATE_READYRIFLE",48,8192,2,0,0,
233,"STATE_WORK_NOSHEATHE_MINING",136,8192,2,0,3782,
234,"STATE_WORK_NOSHEATHE_CHOPWOOD",136,8192,2,0,3202,
253,"zzOLDONESHOT_LIFTOFF",192,0,0,0,0,
254,"ONESHOT_LIFTOFF",192,0,0,0,0,
273,"ONESHOT_YES(DNR)",185,0,0,0,0,
274,"ONESHOT_NO(DNR)",186,0,0,0,0,
275,"ONESHOT_TRAIN(DNR)",195,0,0,0,0,
293,"ONESHOT_LAND",200,0,0,0,0,
313,"STATE_AT_EASE",0,0,1,2,0,
333,"STATE_READY1H",26,24576,2,0,0,
353,"STATE_SPELLKNEELSTART",140,0,2,0,0,
373,"STATE_SUBMERGED",202,0,1,0,0,
374,"ONESHOT_SUBMERGE",201,0,0,0,0,
375,"STATE_READY2H",27,24576,2,0,0,
376,"STATE_READYBOW",29,8192,2,0,0,
