",0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,4128894,
228,"|cffffd100Tip:|r If a profession trainer cannot teach you any more, they will generally tell you where to go to get further training.
",0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,4128894,
229,"|cffffd100Tip:|r On your character sheet is a reputation tab that tells you your status with different groups.
",0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,4128894,
263,"|cffffd100Tip:|r You can use the Tab key to select nearby enemies in front of you.
",0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,4128894,
321,"|cffffd100Tip:|r If you are having trouble finding something in a capital city, try asking a guard for directions.
",0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,4128894,
230,"|cffffd100Tip:|r You can perform many fun actions with the emote system, for instance you can type /dance to dance.
",0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,4128894,
387,"|cffffd100Tip:|r A Blizzard employee will NEVER ask for your password.",0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,4128894,
389,"|cffffd100Tip:|r You can only know two professions at a time, but you can learn all of the secondary skills (fishing, cooking and first-aid).",0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,4128894,
301,"|cffffd100Tip:|r You can right-click on a beneficial spell that has been cast on you to dismiss it.
",0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,4128894,
231,"|cffffd100Tip:|r The interface options menu <ESC> has lots of ways to customize your game play.
",0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,4128894,
232,"|cffffd100Tip:|r You can turn off the slow scrolling of quest text in the interface options menu.

",0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,4128894,
233,"|cffffd100Tip:|r Spend your talent points carefully as once your talents are chosen, you must spend gold to unlearn them.
",0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,4128894,
234,"|cffffd100Tip:|r A mail icon next to the minimap means you have new mail.  Visit a mailbox to retrieve it.
",0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,4128894,
235,"|cffffd100Tip:|r You can add additional action bars to your game interface from the interface options menu.
",0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,4128894,
236,"|cffffd100Tip:|r If you hold down <Shift> while right-clicking on a target to loot, you will automatically loot all items on the target.
",0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,4128894,
401,"|cffffd100Tip:|r Your character can eat and drink at the same time.",0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,4128894,
237,"|cffffd100Tip:|r If you enjoyed playing with someone, put them on your friends list!
",0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,4128894,
406,"|cffffd100Tip:|r It is better to quest and die, than never to have quested at all.
",0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,4128894,
239,"|cffffd100Tip:|r There are a number of different loot options when in a group.   The group leader can right-click their own portrait to change the options.
",0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,4128894,
240,"|cffffd100Tip:|r You can choose not to display your helm and/or cloak with an option from the interface options menu.
",0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,4128894,
241,"|cffffd100Tip:|r You can target members of your party with the function keys.   F1 targets you; F2 targets the second party member.
",0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,4128894,
242,"|cffffd100Tip:|r Being polite while in a group with others will get you invited back!",0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,4128894,
341,"|cffffd100Tip:|r Remember to take all things in moderation (even World of Warcraft!)",0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,4128894,
243,"|cffffd100Tip:|r When in a queue for a battleground you don't need to wait by the battleground to stay in the queue.
",0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,4128894,
244,"|cffffd100Tip:|r A monster with a silver dragon around its portrait is a rare monster with better than average treasure.
",0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,4128894,
245,"|cffffd100Tip:|r If you mouse over a chat pane it will become visible and you can right-click on the chat pane tab for options.
",0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,4128894,
411,"|cffffd100Tip:|r Sharing an account with someone else can compromise its security.
",0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,4128894,
246,"|cffffd100Tip:|r You can display the duration of beneficial spells on you from the interface options menu.
",0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,4128894,
247,"|cffffd100Tip:|r You can lock your action bar so you don't accidentally move spells.  This is done using the interface options menu.
",0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,4128894,
256,"|cffffd100Tip:|r You can assign a Hotkey to toggle locking/unlocking your action bar.  Just look in the Key Bindings options to set it.
",0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,4128894,
248,"|cffffd100Tip:|r You can cast a spell on yourself without deselecting your current target by holding down <Alt> while pressing your hotkey.
",0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,4128894,
398,"|cffffd100Tip:|r Ensure that all party members are on the same stage of an escort quest before beginning it.",0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,4128894,
405,"|cffffd100Tip:|r You're much less likely to encounter wandering monsters while following a road.",0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,4128894,
249,"|cffffd100Tip:|r Killing Civilians will give you a dishonorable kill and an honor rating penalty.

",0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,4128894,
250,"|cffffd100Tip:|r Killing guards gives no honor.",0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,4128894,
254,"|cffffd100Tip:|r You can hide your interface with <Alt>Z and take screenshots with <Print Screen>.
",0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,4128894,
251,"|cffffd100Tip:|r Typing /macro will bring up the interface to create macros.
",0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,4128894,
252,"|cffffd100Tip:|r Enemy players whose names appear in gray are much lower level than you are and will not give honor when killed.
",0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,4128894,
253,"|cffffd100Tip:|r When you are in a raid you can drag a group or class type from the raid window to your game field so you can always see their health and mana.
",0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,4128894,
261,"|cffffd100Tip:|r  A blue question mark above a quest giver means the quest is repeatable. 
",0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,4128894,
262,"|cffffd100Tip:|r Use the assist button (F key) while targeting another player, and it will target the same target as that player.
",0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,4128894,
281,"|cffffd100Tip:|r <Shift>Clicking on an item being sold by a vendor will let you select how many of that item you wish to purchase.",0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,4128894,
402,"|cffffd100Tip:|r Playing in a battleground on its holiday weekend increases your reputation and honor gained.
",0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,4128894,
400,"|cffffd100Tip:|r If you are having trouble fishing in an area, try attaching a lure to your fishing pole.",0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,4128894,
380,"|cffffd100Tip:|r You can view messages you previously sent in chat by pressing <Alt> and the up arrow key.",0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,4128894,
381,"|cffffd100Tip:|r You can Shift-Click on an item stack to split it into smaller stacks.",0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,4128894,
382,"|cffffd100Tip:|r Pressing both mouse buttons simultaneously will make your character run.",0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,4128894,
383,"|cffffd100Tip:|r When replying to a tell from a player (Default 'R'), the <TAB> key cycles through people you have recently replied to.",0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,4128894,
388,"|cffffd100Tip:|r Clicking an item name that appears bracketed in chat will tell you more about the item.
",0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,4128894,
390,"|cffffd100Tip:|r It's considered polite to talk to someone before inviting them into a group, or opening a trade window.",0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,4128894,
391,"|cffffd100Tip:|r Pressing 'v' will toggle the display of a health bar over nearby enemies.",0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,4128894,
392,"|cffffd100Tip:|r Your items do not suffer durability damage when you are killed by an enemy player.",0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,4128894,
393,"|cffffd100Tip:|r <Shift>click on a quest in your quest log to toggle quest tracking for that quest.
",0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,4128894,
397,"|cffffd100Tip:|r The auction houses in each of your faction's major cities are linked together. 
",0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,4128894,
394,"|cffffd100Tip:|r Nearby questgivers that are awaiting your return are shown as a yellow dot on your mini-map.
",0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,4128894,
399,"|cffffd100Tip:|r Quests completed at maximum level award money instead of experience.
",0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,4128894,
403,"|cffffd100Tip:|r <Shift>-B will open all your bags at once.",0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,4128894,
404,"|cffffd100Tip:|r When interacting with other players a little kindness goes a long way! 
",0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,4128894,
407,"|cffffd100Tip:|r Bring your friends to Azeroth, but don't forget to go outside Azeroth with them as well.
",0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,4128894,
409,"|cffffd100Tip:|r If you keep an empty mailbox, the mail icon will let you know when you have new mail waiting!
",0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,4128894,
410,"|cffffd100Tip:|r Never give another player your account information.",0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,4128894,
412,"|cffffd100Tip:|r You can turn these tips off in the Interface menu.",0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,4128894,
