1,0,0.000000,0,
2,250,0.000000,250,
3,500,0.000000,500,
4,1000,0.000000,1000,
5,2000,0.000000,2000,
6,5000,0.000000,5000,
7,10000,0.000000,10000,
8,20000,0.000000,20000,
9,30000,0.000000,30000,
10,1000,-1.#QNAN0,500,
11,2000,-1.#QNAN0,1000,
12,5000,-1.#QNAN0,2500,
13,30000,-1.#QNAN0,10000,
14,3000,0.000000,3000,
15,4000,0.000000,4000,
16,1500,0.000000,1500,
18,-1000000,0.000000,-1000000,
19,2500,0.000000,2500,
20,2500,0.000000,2500,
21,2600,0.000000,2600,
22,3500,0.000000,3500,
23,1800,0.000000,1800,
24,2200,0.000000,2200,
25,2900,0.000000,2900,
26,3700,0.000000,3700,
27,4100,0.000000,4100,
28,3200,0.000000,3200,
29,4700,0.000000,4700,
30,4500,0.000000,4500,
31,2300,0.000000,2300,
32,7000,0.000000,7000,
33,5125,-1.#QNAN0,3000,
34,8000,-1.#QNAN0,4000,
35,12500,-1.#QNAN0,5000,
36,600,0.000000,600,
37,25000,-1.#QNAN0,10000,
38,45000,-1.#QNAN0,15000,
39,60000,-1.#QNAN0,30000,
50,1300,0.000000,1300,
70,300000,0.000000,300000,
90,1700,0.000000,1700,
91,2800,0.000000,2800,
110,750,0.000000,750,
130,1600,0.000000,1600,
150,3800,0.000000,3800,
151,2700,0.000000,2700,
152,3100,0.000000,3100,
153,3400,0.000000,3400,
170,8000,0.000000,8000,
171,6000,0.000000,6000,
190,100,0.000000,100,
191,0,0.000000,0,
