0,0,0,"Consumable",0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,8323198,
1,1,0,"Container",0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,8323198,
2,2,1,"Weapon",0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,8323198,
3,3,0,"Jewelry(OBSOLETE)",0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,8323198,
4,4,0,"Armor",0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,8323198,
5,5,0,"Reagent",0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,8323198,
6,6,0,"Projectile",0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,8323198,
7,7,0,"Trade Goods",0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,8323198,
8,8,0,"Generic(OBSOLETE)",0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,8323198,
9,9,0,"Recipe",0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,4128894,
10,10,0,"Money(OBSOLETE)",0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,8323198,
11,6,0,"Quiver",0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,8323198,
12,0,0,"Quest",0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,8323198,
13,0,0,"Key",0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,8323198,
14,1,0,"Permanent(OBSOLETE)",0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,8323198,
15,0,0,"Miscellaneous",0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,4128894,
