1,0.000000,0.000000,0,"Self Only",0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,8323134,"Self",0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,8323132,
2,0.000000,5.000000,1,"Combat Range",0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,8323134,"Combat",0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,8323132,
3,0.000000,20.000000,0,"Short Range",0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,8323134,"Short",0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,8323132,
4,0.000000,30.000000,0,"Medium Range",0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,8323134,"Medium",0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,8323132,
5,0.000000,40.000000,0,"Long Range",0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,8323134,"Long",0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,8323132,
6,0.000000,100.000000,0,"Vision Range",0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,8323134,"Vision",0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,8323132,
7,0.000000,10.000000,0,"Very Short Range",0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,8323134,"Very Short",0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,8323132,
8,10.000000,20.000000,0,"Short Range",0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,8323134,"Short",0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,8323132,
9,10.000000,30.000000,0,"Medium Range",0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,8323134,"Medium",0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,8323132,
10,10.000000,40.000000,0,"Long Range",0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,8323134,"Long",0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,8323132,
11,0.000000,15.000000,0,"Shorter Range",0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,8323134,"Shorter",0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,8323132,
