1,1,2,2.000000,3.000000,0.400000,0.060000,1.000000,
2,1,2,7.000000,3.000000,0.400000,0.060000,1.000000,
4,0,0,2.000000,6.000000,4.000000,0.000000,0.400000,
5,0,1,2.000000,4.000000,4.000000,0.000000,0.400000,
6,0,2,4.000000,5.200000,4.000000,0.000000,0.400000,
7,1,0,2.000000,6.000000,2.000000,0.000000,0.400000,
8,1,1,2.000000,4.000000,2.000000,0.000000,0.400000,
9,1,2,4.000000,5.200000,2.000000,0.000000,0.400000,
10,1,2,3.000000,2.000000,0.600000,0.160000,2.000000,
11,1,2,4.000000,3.000000,0.600000,0.100000,2.000000,
12,1,2,6.000000,4.000000,0.650000,0.080000,1.000000,
13,0,0,2.000000,6.000000,0.600000,0.000000,3.000000,
14,0,1,2.000000,6.000000,0.600000,0.000000,3.000000,
15,0,2,2.000000,6.000000,0.600000,0.000000,3.000000,
16,1,0,1.000000,7.000000,1.000000,0.000000,0.400000,
17,1,1,1.000000,4.000000,1.000000,0.000000,0.400000,
18,1,2,1.000000,6.000000,1.000000,0.000000,0.400000,
36,0,0,2.000000,6.000000,10.000000,0.000000,0.400000,
37,0,1,2.000000,4.000000,10.000000,0.000000,0.400000,
38,0,2,4.000000,5.200000,10.000000,0.000000,0.400000,
56,0,0,5.000000,2.500000,0.250000,0.000000,1.000000,
76,0,0,2.000000,6.000000,20.000000,0.000000,0.400000,
77,0,1,2.000000,4.000000,20.000000,0.000000,0.400000,
78,0,2,4.000000,5.200000,20.000000,0.000000,0.400000,
