1,"World\Generic\ActiveDoodads\Chest02\Chest02.mdx",0,1277,0,0,0,0.000000,0,0,0,0,
2,"World\Generic\Orc\Passive Doodads\WantedPosters\WantedPosterStuck01.mdx",0,0,0,0,0,0.000000,0,0,0,0,
3,"World\Azeroth\Stranglethorn\Buildings\TrollWatchTower\TrollWatchTower.mdx",0,0,0,0,0,0.000000,0,0,0,0,
4,"World\Generic\Human\Passive Doodads\Wardrobe\DuskwoodWardrobe02.mdx",0,0,0,0,0,0.000000,0,0,0,0,
5,"World\Generic\Troll\Passive Doodads\TrollTablets\TrollTablet.mdx",0,0,0,0,0,0.000000,0,0,0,0,
6,"World\Azeroth\Elwynn\PassiveDoodads\Statue\LionStatue.mdx",0,0,0,0,0,0.000000,0,0,0,0,
7,"World\Azeroth\Elwynn\PassiveDoodads\jugs\jug02.mdx",0,0,0,0,0,0.000000,0,0,0,0,
8,"World\Generic\Human\Passive Doodads\Footlockers\DuskwoodFootLocker01.mdx",0,0,0,0,0,0.000000,0,0,0,0,
9,"World\Generic\PassiveDoodads\Barrel\BrokenBarrel02.mdx",0,0,0,0,0,0.000000,0,0,0,0,
10,"World\Generic\ActiveDoodads\Chest01\Chest01.mdx",1282,1277,1281,1278,0,0.000000,0,0,0,0,
11,"World\Generic\Human\Passive Doodads\Sarcophagi\Sarcophagus.mdx",0,0,0,0,0,0.000000,0,0,0,0,
12,"World\Azeroth\Duskwood\PassiveDoodads\Tombs\WoodCross02.mdx",0,0,0,0,0,0.000000,0,0,0,0,
13,"WORLD\GENERIC\HUMAN\ACTIVEDOODADS\DOORS\FARMDOOR01TEST.MDX",0,0,0,0,0,0.000000,0,0,0,0,
14,"World\Generic\Human\Passive Doodads\Meat\BloodyMeat01.mdx",0,0,0,0,0,0.000000,0,0,0,0,
15,"WORLD\GENERIC\ORC\PASSIVE DOODADS\WANTEDPOSTERS\WANTEDPOSTERSCROLL01.MDX",0,0,0,0,0,0.000000,0,0,0,0,
17,"World\Generic\Orc\Passive Doodads\WantedPosters\WantedPosterFramed01.mdx",0,0,0,0,0,0.000000,0,0,0,0,
18,"World\Azeroth\Westfall\PassiveDoodads\Crate\WestFallCrate.mdx",0,0,0,0,0,0.000000,0,0,0,0,
19,"World\Azeroth\Duskwood\PassiveDoodads\Tombs\TombStone07.mdx",0,0,0,0,0,0.000000,0,0,0,0,
20,"World\Azeroth\Duskwood\PassiveDoodads\Tombs\DirtMound01.mdx",0,0,0,0,0,0.000000,0,0,0,0,
