1,1,1,1,1,1,1,1,1,1,0.000000,1,1,1,1,1,1,1,1,1,1,1,0.000000,1,1,1,1,0.000000,1,0.000000,
2,1,1,1,1,1,1,1,1,1,0.000000,1,1,1,1,1,1,1,1,1,1,1,0.000000,1,1,1,1,0.000000,1,0.000000,
3,1,1,1,1,1,1,1,1,1,0.000000,1,1,1,1,1,1,1,1,1,1,1,0.000000,1,1,1,1,0.000000,1,0.000000,
4,1,1,1,1,1,1,1,1,1,0.000000,1,1,1,1,1,1,1,1,1,1,1,0.000000,1,1,1,1,0.000000,2,0.000000,
5,1,1,1,1,1,1,1,1,1,0.000000,1,1,1,1,1,1,1,1,1,1,1,0.000000,1,1,1,1,0.000000,2,0.000000,
6,2,3,2,2,2,3,3,2,3,0.000000,3,2,3,2,2,1,2,3,3,1,1,0.000000,1,1,1,1,0.000000,2,0.000000,
7,2,3,2,2,2,3,3,2,3,0.000000,3,2,3,2,2,1,2,3,3,1,1,0.000000,1,1,1,1,0.000000,2,0.000000,
8,2,3,2,2,2,3,3,2,3,0.000000,3,2,3,2,2,1,2,3,3,1,1,0.000000,2,2,2,2,0.000000,3,0.000000,
9,2,3,2,2,2,3,3,2,3,0.000000,3,2,3,2,2,1,2,3,3,1,1,0.000000,2,2,2,2,0.000000,3,0.000000,
10,3,4,3,3,3,4,4,3,4,0.000000,4,3,4,3,3,2,3,4,4,2,2,0.000000,2,2,2,2,0.000000,3,0.000000,
11,3,4,3,3,3,4,4,3,4,0.000000,4,3,4,3,3,2,3,4,4,2,2,0.000000,2,2,2,2,0.000000,3,0.000000,
12,3,4,3,3,3,4,4,3,4,0.000000,4,3,4,3,3,2,3,4,4,2,2,0.000000,3,3,3,3,0.000000,4,0.000000,
13,3,4,3,3,3,4,4,3,4,0.000000,4,3,4,3,3,2,3,4,4,2,2,0.000000,3,3,3,3,0.000000,4,0.000000,
14,4,6,4,4,4,6,6,4,6,0.000000,6,4,6,4,4,3,4,6,6,3,3,0.000000,3,3,3,3,0.000000,4,0.000000,
15,4,6,4,4,4,6,6,4,6,0.000000,6,4,6,4,4,3,4,6,6,3,3,0.000000,3,3,3,3,0.000000,4,0.000000,
16,4,6,4,4,4,6,6,4,6,0.000000,6,4,6,4,4,3,4,6,6,3,3,0.000000,4,4,4,4,0.000000,5,0.000000,
17,4,6,4,4,4,6,6,4,6,0.000000,6,4,6,4,4,3,4,6,6,3,3,0.000000,4,4,4,4,0.000000,5,0.000000,
